--------- beginning of crash
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-commit-id:722d4d057786ee46754f9b77939cdc75d12fa06f
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-change-id:I4573b37dc671335b64083430a22026f187852e25
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-merge-id:none
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:56.373  1212  1317 I libGLES_mali: mtk-brm-commit-id:b8cb4240da48dc7bb5e0797774fab31af08ef59d
07-09 15:47:56.375  1212  1317 I libGLES_mali: mtk-brm-change-id:Iba9e1f53e8a0b631534505f1ee6bc05742c31af5
07-09 15:47:56.375  1212  1317 I libGLES_mali: mtk-brm-merge-id:none
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-commit-id:8783a29bae0ae84a456239f3212f27bdafa94c91
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-change-id:Iee598bb542f5de895a4b71649fbc79b2d93bc3de
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-merge-id:none
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-merge-id:none
07-09 15:47:56.922  1437  1437 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:56.923  1437  1437 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:56.923  1437  1437 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-merge-id:none
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-merge-id:none
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-commit-id:9504ca4d9fe90b18cc868bffca3317a0b06d4f0e
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-change-id:I1329c9c99dd4a140cd413bfc9aec757077413c57
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-merge-id:none
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-change-id:none
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-change-id:none
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-11 18:09:01.103  5976  5976 E AndroidRuntime: FATAL EXCEPTION: main
07-11 18:09:01.103  5976  5976 E AndroidRuntime: Process: com.zarz.spotiflac, PID: 5976
07-11 18:09:01.103  5976  5976 E AndroidRuntime: java.lang.RuntimeException: Unable to stop service com.ryanheise.audioservice.AudioService@a52b5e0: java.lang.RuntimeException: Cannot execute operation because FlutterJNI is not attached to native.
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.app.ActivityThread.handleStopService(ActivityThread.java:5239)
07-11 21:18:19.485  1212  1833 I BufferQueueDebug: [a24f613 ActivityRecordInputSink com.kaon.music/.MainActivity#33693](this:0xb400007667c24450,id:-1,api:0,p:-1,c:-1) BufferQueue core=(1212:/system/bin/surfaceflinger)
07-11 21:18:19.493  1861 10442 W UserManagerService: Requested status bar icon for non-badged user 0
07-11 21:18:19.494  1212  1212 I SurfaceFlinger: onHandleDestroyed: name=Surface(name=d29002e NavigationBar0)/@0xacfb0ce - animation-leash of insets_animation#33684, layerId=33684, parentId=0
07-11 21:18:19.494  1212  1212 I SurfaceFlinger: onHandleDestroyed: name=Surface(name=b4dca9b StatusBar)/@0x9381c9 - animation-leash of insets_animation#33677, layerId=33677, parentId=0
07-11 21:18:19.505  1212  1212 I BufferQueueDebug: [Surface(name=d29002e NavigationBar0)/@0xacfb0ce - animation-leash of insets_animation#33684](this:0xb400007667c07cb0,id:-1,api:0,p:-1,c:1212) onDestructor()
07-11 21:18:19.505  1212  1212 I BufferQueueDebug: [Surface(name=b4dca9b StatusBar)/@0x9381c9 - animation-leash of insets_animation#33677](this:0xb400007667c38340,id:-1,api:0,p:-1,c:1212) onDestructor()
07-11 21:18:19.517  1212  1212 I BufferQueueProducer: [StatusBar#87](this:0xb40000766796d710,id:-1,api:0,p:-1,c:1212) queueBuffer: fps=0.19 dur=5339.59 max=5339.59 min=5339.59
07-11 21:18:19.518  4822  4822 I com.kaon.music: Using generational CollectorTypeCMC GC.
07-11 21:18:19.525  1286  1313 I adbd    : jdwp connection from 4822
07-11 21:18:19.557  1861  2605 I AppsFilter: interaction: PackageSetting{5d580b0 com.kaon.music/10303} -> PackageSetting{13f0e7e bitpit.launcher/10317} BLOCKED
07-11 21:18:19.558  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:19.561  1861  2605 I PowerHalWrapper: amsBoostNotify pid:4822,activity:com.kaon.music.MainActivity, package:com.kaon.music, mProcessCreatePackcom.kaon.music 
07-11 21:18:19.561  1861  2605 I PowerHalWrapper: state: 1 
07-11 21:18:19.562  1861  1895 I mtkpower_client: perf_lock_rel, hdl:62221, tid:1895
07-11 21:18:19.562  1861  2605 I ScnModule: [GameDetection] packname: com.kaon.music, apkSize: 35997327. 
07-11 21:18:19.562  1861  2605 I mtkpower_client: [PowerHal_Wrap_notifyAppState] com.kaon.music/com.kaon.music.MainActivity pid=4822 activityId:174637136 state:1
07-11 21:18:19.563  1169  1169 I vendor.mediatek.hardware.mtkpower_applist-service.mediatek: packName: com.kaon.music actName: com.kaon.music.MainActivity pid: 4822 activityId: 174637136 uid: 10303 state: 1
07-11 21:18:19.565  1169  1169 I MTK_APPList: [notifyAPPstate] com.kaon.music/com.kaon.music.MainActivity, pid=4822, activityId=174637136, uid=10303, state:RESUMED, fps:-1, win:0
07-11 21:18:19.565  1169  1169 I MTK_APPList: [notifyAPPstate] multi_resumed_app_count: 1
07-11 21:18:19.565  1169  1169 I MTK_APPList: [notifyAPPstate] multi_resumed_app_info[0] com.kaon.music/com.kaon.music.MainActivity, pid:4822, activityId:174637136, fps:-1, isMultiWindow:0
07-11 21:18:19.565  1861  2605 I PowerHalWrapper: amsBoostNotify AMS_BOOST_PROCESS_CREATE_BOOST:true 
07-11 21:18:19.566  1861  1861 E MBrainLocalService: notifyAppSwitch failed
07-11 21:18:19.565  1169  1169 I MTK_APPList: [getForegroundAPPCount] 1
07-11 21:18:19.566  1169  1169 I MTK_APPList: [notifyAPPstate] foreground:com.kaon.music, pid:4822, activityId:174637136, uid:10303
07-11 21:18:19.566  1169  1169 I MTK_APPList: [notifyNetdUID] 10303
07-11 21:18:19.568  1182  1243 I libPowerHal: [perfLockRel] hdl:62221, idx:0
07-11 21:18:19.568  1182  1243 I libPowerHal: [load_thm_api] idx:1, start:0
07-11 21:18:19.568  1861  1895 I mtkpower_client: perf_lock_acq, hdl:0, dur:0, num:2, pid:1861, tid:1895
07-11 21:18:19.569  1182  1243 I libMtcLoader: load_propertydata 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  active: 4 count: 1
07-11 21:18:19.570  1182  1243 I libMtcLoader: disable thermal policy thermal_policy_01.
07-11 21:18:19.570  1182  1243 I libMtcLoader: next_idx -1
07-11 21:18:19.570  1182  1243 I libMtcLoader: store_propertydata 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 active: -1 count: 0
07-11 21:18:19.570  1182  1243 I libMtcLoader: loadmtc
07-11 21:18:19.571  1182  1243 I libMtcLoader: readPolicy_formatV2
07-11 21:18:19.571  1412  1412 I thermal_src: ta_catm_init_flow
07-11 21:18:19.571  1412  1412 I thermal_src: u_CATM_ON == -1, get catm init val
07-11 21:18:19.571  1412  1412 I thermal_src: TTJ_D 13500,TT_H 500,TT_L 500,TT 4000,MAX_TT 800000,MIN_TT -800000,MIN_TTJ 65000,CATM_ON 2,TTJ 57000,MAX_TARGET_TJ 80000,TRIP_TPCB 42000,STEADY_TARGET_TPCB 44000
07-11 21:18:19.571  1412  1412 I thermal_src: update param 6912,57000,66500,27648,-19456
07-11 21:18:19.623  1182  1243 I libMtcLoader: loadmtc loadmtc done
07-11 21:18:19.623  1182  1243 I libMtcLoader: default thermal policy.
07-11 21:18:19.625  1182  1243 I libPowerHal: [PD] system_server update ONESHOT(unset) cmd:3000000 param:1 pr:3
07-11 21:18:19.626  1182  1243 I libPowerHal: [perfLockRel] Done for hdl : 62221
07-11 21:18:19.628  1169  1169 I MTK_APPList: [notifyPID] 4822
07-11 21:18:19.631  1182  1243 I libPowerHal: [perfLockAcq] idx:0 hdl:62227 hint:-1 pid:1861 tid:1895 duration:0 lock_user:system_server => ret_hdl:62227
07-11 21:18:19.631  1182  1243 I libPowerHal: [load_thm_api] idx:1, start:1
07-11 21:18:19.632  1861  1895 I mtkpower_client: ret_hdl:62227
07-11 21:18:19.632  1182  1243 I libMtcLoader: load_propertydata 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  active: -1 count: 0
07-11 21:18:19.632  1182  1243 I libMtcLoader: enable thermal policy thermal_policy_01.
07-11 21:18:19.632  1182  1243 I libMtcLoader: next_idx 4
07-11 21:18:19.632  1182  1243 I libMtcLoader: store_propertydata 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 active: 4 count: 1
07-11 21:18:19.633  1182  1243 I libMtcLoader: loadmtc
07-11 21:18:19.633  1182  1243 I libMtcLoader: readPolicy_formatV2
07-11 21:18:19.635  1412  1412 I thermal_src: ta_catm_init_flow
07-11 21:18:19.635  1412  1412 I thermal_src: u_CATM_ON == -1, get catm init val
07-11 21:18:19.635  1412  1412 I thermal_src: TTJ_D 13500,TT_H 500,TT_L 500,TT 4000,MAX_TT 800000,MIN_TT -800000,MIN_TTJ 65000,CATM_ON 2,TTJ 53000,MAX_TARGET_TJ 80000,TRIP_TPCB 42000,STEADY_TARGET_TPCB 44000
07-11 21:18:19.635  1412  1412 I thermal_src: update param 6912,53000,66500,27648,-27648
07-11 21:18:19.672  1861  1861 W libc    : Access denied finding property "vendor.mbrain.battery"
07-11 21:18:19.687  1182  1243 I libMtcLoader: loadmtc loadmtc done
07-11 21:18:19.688  1182  1243 I libPowerHal: [PE] system_server update ONESHOT(set) cmd:3000000 param:1 pr:3
07-11 21:18:19.688  1182  1243 I libPowerHal: [perfLockAcq] Done for hdl : 62227
07-11 21:18:19.689  1182  1243 I libPowerHal: [perfSetSysInfo] pid type:24, 4822
07-11 21:18:19.689  1169  1169 I MTK_APPList: [notifyAPPstate] pc:0, bitpit.launcher => com.kaon.music
07-11 21:18:19.707  1861 10442 W UserManagerService: Requested status bar icon for non-badged user 0
07-11 21:18:19.711  1861  2335 W UserManagerService: Requested status bar icon for non-badged user 0
07-11 21:18:19.718  1861  1861 W libc    : Access denied finding property "vendor.mbrain.battery"
07-11 21:18:19.722  1212  1212 I SurfaceFlinger: onHandleDestroyed: name=1db5639 ActivityRecordInputSink bitpit.launcher/.ui.HomeActivity#33678, layerId=33678, parentId=0
07-11 21:18:19.722  1212  1212 I SurfaceFlinger: onHandleDestroyed: name=Transition Root: Task=433#33690, layerId=33690, parentId=0
07-11 21:18:19.737  1212  1212 I BufferQueueDebug: [Transition Root: Task=433#33690](this:0xb400007667af3920,id:-1,api:0,p:-1,c:1212) onDestructor()
07-11 21:18:19.737  1212  1212 I BufferQueueDebug: [1db5639 ActivityRecordInputSink bitpit.launcher/.ui.HomeActivity#33678](this:0xb400007667bbae80,id:-1,api:0,p:-1,c:1212) onDestructor()
07-11 21:18:19.738  1861  1861 W libc    : Access denied finding property "vendor.mbrain.battery"
07-11 21:18:19.835  1861  1874 I system_server: Background young concurrent mark compact GC freed 17MB AllocSpace bytes, 3(60KB) LOS objects, 20% free, 68MB/85MB, paused 2.410ms,14.120ms total 181.148ms
07-11 21:18:19.846  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.846  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.846  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.846  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.846  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.846  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.846  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.846  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.847  1861  1876 W System  : A resource failed to call release. 
07-11 21:18:19.848  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.848  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.848  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.848  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.856  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.857  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.857  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.857  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.857  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.857  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.857  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.857  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.857  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.857  1861  1876 W System  : A resource failed to call HardwareBuffer.close. 
07-11 21:18:19.857  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.858  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.858  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.865  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.865  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.865  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.865  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.865  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.865  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.865  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.865  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.865  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.865  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.866  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.866  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.866  1861  1876 W System  : A resource failed to call release. 
07-11 21:18:19.866  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.866  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.866  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.866  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.870  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.871  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.873  1861  1876 W System  : A resource failed to call HardwareBuffer.close. 
07-11 21:18:19.875  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.876  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.877  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.877  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.877  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.877  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.877  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.877  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.878  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.878  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.878  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.878  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.878  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.878  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.878  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.878  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.878  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.878  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.881  1861  1876 W System  : A resource failed to call release. 
07-11 21:18:19.881  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.882  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.882  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.882  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.882  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.882  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.882  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:19.882  1861  1876 W System  : A resource failed to call close. 
07-11 21:18:20.019  1861  1885 W AccessibilityWindowsPopulator: Windows change within in 2 frames continuously over 500 ms and notify windows changed immediately
07-11 21:18:20.023  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:20.027  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:20.029  1137  1671 I netd    : tetherGetStats() -> {[TetherStatsParcel{iface: ccmni0, rxBytes: 6341832, rxPackets: 3829, txBytes: 1225455, txPackets: 3243, ifIndex: 0}]} <2.98ms>
07-11 21:18:20.091  1182  1210 I mtkpower@impl: [setMode] type:6, enabled:0
07-11 21:18:20.091  1182  1210 E mtkpower@impl: [setMode] unknown type
07-11 21:18:20.227  1169  1227 I libPerfCtl: xgfGetFPS pid:1212 fps:-1
07-11 21:18:20.227  1169  1227 I libPerfCtl: xgfGetFPS pid:2034 fps:-1
07-11 21:18:20.227  1169  1227 I libPerfCtl: xgfGetFPS pid:2199 fps:-1
07-11 21:18:20.786  4822  4822 I ExoPlayerImpl: Init c06859d [AndroidXMedia3/1.10.1] [lamul, moto g05, motorola, 35]
07-11 21:18:20.805  4822  4822 I DefaultRenderersFactory: Loaded FfmpegVideoRenderer.
07-11 21:18:20.819  4822  4822 I DefaultRenderersFactory: Loaded FfmpegAudioRenderer.
07-11 21:18:20.944  4822  4822 I Typeface: initOverlayFonts====family: Exo2-Regular
07-11 21:18:20.945  1861  2603 I ActivityManager: Flag disabled. Ignoring finishAttachApplication from uid: 10303. pid: 4822
07-11 21:18:20.953  4822  4822 I PowerHalWrapper: PowerHalWrapper.getInstance 
07-11 21:18:20.954  4822  4822 I M-ProMotion: M-ProMotion is disabled
07-11 21:18:20.978  4822  4863 E com.kaon.music: setpriority success to 100 : mali-cmar-backend
07-11 21:18:21.005  4822  4822 I Kernel  : Kernel Started
07-11 21:18:21.030  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:21.033  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:21.034  1137  1671 I netd    : tetherGetStats() -> {[TetherStatsParcel{iface: ccmni0, rxBytes: 6341832, rxPackets: 3829, txBytes: 1225455, txPackets: 3243, ifIndex: 0}]} <2.54ms>
07-11 21:18:21.104  4822  4844 I PowerHalWrapper: PowerHalWrapper.getInstance 
07-11 21:18:21.106  4822  4822 I SurfaceFactory: [static] sSurfaceFactory = com.mediatek.view.impl.SurfaceFactoryImpl@9975d
07-11 21:18:21.111  4822  4822 W HWUI    : Unknown dataspace 0
07-11 21:18:21.119  1212  1300 I BufferQueueDebug: [f61f11a com.kaon.music/com.kaon.music.MainActivity#33694](this:0xb400007667bbae80,id:-1,api:0,p:-1,c:-1) BufferQueue core=(1212:/system/bin/surfaceflinger)
07-11 21:18:21.124  1182  1210 I mtkpower@impl: [setMode] type:6, enabled:1
07-11 21:18:21.124  1182  1210 E mtkpower@impl: [setMode] unknown type
07-11 21:18:21.127  4822  4822 I Choreographer: Skipped 39 frames!  The application may be doing too much work on its main thread.
07-11 21:18:21.131  1212  1212 I BufferQueueProducer: [FramebufferSurface](this:0xb4000074f7958f50,id:-1,api:1,p:1212,c:1212) queueBuffer: fps=32.04 dur=1904.02 max=1100.21 min=7.85
07-11 21:18:21.131  1151  1163 I hwcomposer: [HWCDisplay] (0 updateFps():3644), (type:1, mode:2) fps:32.027809,dur:1904.59,max:1100.65,min:7.87  
07-11 21:18:21.158  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:21.161  1861  1965 W JobServiceContext: Sending onNetworkChanged for a job that isn't started. JobStatus{32a5a27 androidx.work.systemjobscheduler:u0a175/555005498 @androidx.work.systemjobscheduler@com.google.android.apps.photos/androidx.work.impl.background.systemjob.SystemJobService u=0 s=10175 NET READY}
07-11 21:18:21.161  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:21.184  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:21.187  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:21.203  1182  1210 I mtkpower@impl: [setMode] type:6, enabled:0
07-11 21:18:21.203  1182  1210 E mtkpower@impl: [setMode] unknown type
07-11 21:18:21.227  1169  1227 I libPerfCtl: xgfGetFPS pid:1212 fps:-1
07-11 21:18:21.227  1169  1227 I libPerfCtl: xgfGetFPS pid:2034 fps:-1
07-11 21:18:21.227  1169  1227 I libPerfCtl: xgfGetFPS pid:2199 fps:-1
07-11 21:18:21.390  4822  4822 I com.kaon.music: hiddenapi: Accessing hidden method Landroid/os/SystemProperties;->addChangeCallback(Ljava/lang/Runnable;)V (runtime_flags=0, domain=platform, api=unsupported) from Landroidx/compose/ui/platform/AndroidComposeView$Companion; (domain=app, TargetSdkVersion=35) using reflection: allowed
07-11 21:18:21.460  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:21.490  1212  1212 I BufferQueueProducer: [StatusBar#87](this:0xb40000766796d710,id:-1,api:0,p:-1,c:1212) queueBuffer: fps=8.11 dur=1972.29 max=1731.49 min=8.25
07-11 21:18:21.492  1182  1210 I mtkpower@impl: [setMode] type:6, enabled:1
07-11 21:18:21.492  1182  1210 E mtkpower@impl: [setMode] unknown type
07-11 21:18:21.559  1182  1210 I mtkpower@impl: [setMode] type:6, enabled:0
07-11 21:18:21.559  1182  1210 E mtkpower@impl: [setMode] unknown type
07-11 21:18:21.664  4822  4827 I com.kaon.music: Compiler allocated 6842KB to compile void android.view.ViewRootImpl.performTraversals()
07-11 21:18:22.036  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:22.038  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 21:18:22.040  1137  1671 I netd    : tetherGetStats() -> {[TetherStatsParcel{iface: ccmni0, rxBytes: 6341832, rxPackets: 3829, txBytes: 1225455, txPackets: 3243, ifIndex: 0}]} <2.09ms>
07-11 21:18:22.074  1212  1300 I BufferQueueDebug: [com.kaon.music/com.kaon.music.MainActivity#33695](this:0xb400007667af3920,id:-1,api:0,p:-1,c:-1) BufferQueue core=(1212:/system/bin/surfaceflinger)
07-11 21:18:22.077  1861  2335 W WindowManager: Changing focus from null to Window{f61f11a u0 com.kaon.music/com.kaon.music.MainActivity} displayId=0 Callers=com.android.server.wm.RootWindowContainer.updateFocusedWindowLocked:470 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:6676 com.android.server.wm.WindowManagerService.relayoutWindowInner:2694 com.android.server.wm.WindowManagerService.relayoutWindow:2362 
